# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🙌	1F64C	fully-qualified	E0.6	raising hands
🙌🏻	1F64C 1F3FB	fully-qualified	E1.0	raising hands: light skin tone
🙌🏼	1F64C 1F3FC	fully-qualified	E1.0	raising hands: medium-light skin tone
🙌🏽	1F64C 1F3FD	fully-qualified	E1.0	raising hands: medium skin tone
🙌🏾	1F64C 1F3FE	fully-qualified	E1.0	raising hands: medium-dark skin tone
🙌🏿	1F64C 1F3FF	fully-qualified	E1.0	raising hands: dark skin tone
🫶	1FAF6	fully-qualified	E14.0	heart hands
🫶🏻	1FAF6 1F3FB	fully-qualified	E14.0	heart hands: light skin tone
🫶🏼	1FAF6 1F3FC	fully-qualified	E14.0	heart hands: medium-light skin tone
🫶🏽	1FAF6 1F3FD	fully-qualified	E14.0	heart hands: medium skin tone
🫶🏾	1FAF6 1F3FE	fully-qualified	E14.0	heart hands: medium-dark skin tone
🫶🏿	1FAF6 1F3FF	fully-qualified	E14.0	heart hands: dark skin tone
👐	1F450	fully-qualified	E0.6	open hands
👐🏻	1F450 1F3FB	fully-qualified	E1.0	open hands: light skin tone
👐🏼	1F450 1F3FC	fully-qualified	E1.0	open hands: medium-light skin tone
👐🏽	1F450 1F3FD	fully-qualified	E1.0	open hands: medium skin tone
👐🏾	1F450 1F3FE	fully-qualified	E1.0	open hands: medium-dark skin tone
👐🏿	1F450 1F3FF	fully-qualified	E1.0	open hands: dark skin tone
🤲	1F932	fully-qualified	E5.0	palms up together
🤲🏻	1F932 1F3FB	fully-qualified	E5.0	palms up together: light skin tone
🤲🏼	1F932 1F3FC	fully-qualified	E5.0	palms up together: medium-light skin tone
🤲🏽	1F932 1F3FD	fully-qualified	E5.0	palms up together: medium skin tone
🤲🏾	1F932 1F3FE	fully-qualified	E5.0	palms up together: medium-dark skin tone
🤲🏿	1F932 1F3FF	fully-qualified	E5.0	palms up together: dark skin tone
🤝	1F91D	fully-qualified	E3.0	handshake
🤝🏻	1F91D 1F3FB	fully-qualified	E14.0	handshake: light skin tone
🤝🏼	1F91D 1F3FC	fully-qualified	E14.0	handshake: medium-light skin tone
🤝🏽	1F91D 1F3FD	fully-qualified	E14.0	handshake: medium skin tone
🤝🏾	1F91D 1F3FE	fully-qualified	E14.0	handshake: medium-dark skin tone
🤝🏿	1F91D 1F3FF	fully-qualified	E14.0	handshake: dark skin tone
🫱🏻‍🫲🏼	1FAF1 1F3FB 200D 1FAF2 1F3FC	fully-qualified	E14.0	handshake: light skin tone, medium-light skin tone
🫱🏻‍🫲🏽	1FAF1 1F3FB 200D 1FAF2 1F3FD	fully-qualified	E14.0	handshake: light skin tone, medium skin tone
🫱🏻‍🫲🏾	1FAF1 1F3FB 200D 1FAF2 1F3FE	fully-qualified	E14.0	handshake: light skin tone, medium-dark skin tone
🫱🏻‍🫲🏿	1FAF1 1F3FB 200D 1FAF2 1F3FF	fully-qualified	E14.0	handshake: light skin tone, dark skin tone
🫱🏼‍🫲🏻	1FAF1 1F3FC 200D 1FAF2 1F3FB	fully-qualified	E14.0	handshake: medium-light skin tone, light skin tone
🫱🏼‍🫲🏽	1FAF1 1F3FC 200D 1FAF2 1F3FD	fully-qualified	E14.0	handshake: medium-light skin tone, medium skin tone
🫱🏼‍🫲🏾	1FAF1 1F3FC 200D 1FAF2 1F3FE	fully-qualified	E14.0	handshake: medium-light skin tone, medium-dark skin tone
🫱🏼‍🫲🏿	1FAF1 1F3FC 200D 1FAF2 1F3FF	fully-qualified	E14.0	handshake: medium-light skin tone, dark skin tone
🫱🏽‍🫲🏻	1FAF1 1F3FD 200D 1FAF2 1F3FB	fully-qualified	E14.0	handshake: medium skin tone, light skin tone
🫱🏽‍🫲🏼	1FAF1 1F3FD 200D 1FAF2 1F3FC	fully-qualified	E14.0	handshake: medium skin tone, medium-light skin tone
🫱🏽‍🫲🏾	1FAF1 1F3FD 200D 1FAF2 1F3FE	fully-qualified	E14.0	handshake: medium skin tone, medium-dark skin tone
🫱🏽‍🫲🏿	1FAF1 1F3FD 200D 1FAF2 1F3FF	fully-qualified	E14.0	handshake: medium skin tone, dark skin tone
🫱🏾‍🫲🏻	1FAF1 1F3FE 200D 1FAF2 1F3FB	fully-qualified	E14.0	handshake: medium-dark skin tone, light skin tone
🫱🏾‍🫲🏼	1FAF1 1F3FE 200D 1FAF2 1F3FC	fully-qualified	E14.0	handshake: medium-dark skin tone, medium-light skin tone
🫱🏾‍🫲🏽	1FAF1 1F3FE 200D 1FAF2 1F3FD	fully-qualified	E14.0	handshake: medium-dark skin tone, medium skin tone
🫱🏾‍🫲🏿	1FAF1 1F3FE 200D 1FAF2 1F3FF	fully-qualified	E14.0	handshake: medium-dark skin tone, dark skin tone
🫱🏿‍🫲🏻	1FAF1 1F3FF 200D 1FAF2 1F3FB	fully-qualified	E14.0	handshake: dark skin tone, light skin tone
🫱🏿‍🫲🏼	1FAF1 1F3FF 200D 1FAF2 1F3FC	fully-qualified	E14.0	handshake: dark skin tone, medium-light skin tone
🫱🏿‍🫲🏽	1FAF1 1F3FF 200D 1FAF2 1F3FD	fully-qualified	E14.0	handshake: dark skin tone, medium skin tone
🫱🏿‍🫲🏾	1FAF1 1F3FF 200D 1FAF2 1F3FE	fully-qualified	E14.0	handshake: dark skin tone, medium-dark skin tone
🙏	1F64F	fully-qualified	E0.6	folded hands
🙏🏻	1F64F 1F3FB	fully-qualified	E1.0	folded hands: light skin tone
🙏🏼	1F64F 1F3FC	fully-qualified	E1.0	folded hands: medium-light skin tone
🙏🏽	1F64F 1F3FD	fully-qualified	E1.0	folded hands: medium skin tone
🙏🏾	1F64F 1F3FE	fully-qualified	E1.0	folded hands: medium-dark skin tone
🙏🏿	1F64F 1F3FF	fully-qualified	E1.0	folded hands: dark skin tone
✍️	270D FE0F	fully-qualified	E0.7	writing hand
✍	270D	unqualified	E0.7	writing hand
✍🏻	270D 1F3FB	fully-qualified	E1.0	writing hand: light skin tone
✍🏼	270D 1F3FC	fully-qualified	E1.0	writing hand: medium-light skin tone
✍🏽	270D 1F3FD	fully-qualified	E1.0	writing hand: medium skin tone
✍🏾	270D 1F3FE	fully-qualified	E1.0	writing hand: medium-dark skin tone
✍🏿	270D 1F3FF	fully-qualified	E1.0	writing hand: dark skin tone
💅	1F485	fully-qualified	E0.6	nail polish
💅🏻	1F485 1F3FB	fully-qualified	E1.0	nail polish: light skin tone
💅🏼	1F485 1F3FC	fully-qualified	E1.0	nail polish: medium-light skin tone
💅🏽	1F485 1F3FD	fully-qualified	E1.0	nail polish: medium skin tone
💅🏾	1F485 1F3FE	fully-qualified	E1.0	nail polish: medium-dark skin tone
💅🏿	1F485 1F3FF	fully-qualified	E1.0	nail polish: dark skin tone
🤳	1F933	fully-qualified	E3.0	selfie
🤳🏻	1F933 1F3FB	fully-qualified	E3.0	selfie: light skin tone
🤳🏼	1F933 1F3FC	fully-qualified	E3.0	selfie: medium-light skin tone
🤳🏽	1F933 1F3FD	fully-qualified	E3.0	selfie: medium skin tone
🤳🏾	1F933 1F3FE	fully-qualified	E3.0	selfie: medium-dark skin tone
🤳🏿	1F933 1F3FF	fully-qualified	E3.0	selfie: dark skin tone
💪	1F4AA	fully-qualified	E0.6	flexed biceps
💪🏻	1F4AA 1F3FB	fully-qualified	E1.0	flexed biceps: light skin tone
💪🏼	1F4AA 1F3FC	fully-qualified	E1.0	flexed biceps: medium-light skin tone
💪🏽	1F4AA 1F3FD	fully-qualified	E1.0	flexed biceps: medium skin tone
💪🏾	1F4AA 1F3FE	fully-qualified	E1.0	flexed biceps: medium-dark skin tone
💪🏿	1F4AA 1F3FF	fully-qualified	E1.0	flexed biceps: dark skin tone
🦾	1F9BE	fully-qualified	E12.0	mechanical arm
🦿	1F9BF	fully-qualified	E12.0	mechanical leg
🦵	1F9B5	fully-qualified	E11.0	leg
🦵🏻	1F9B5 1F3FB	fully-qualified	E11.0	leg: light skin tone
🦵🏼	1F9B5 1F3FC	fully-qualified	E11.0	leg: medium-light skin tone
🦵🏽	1F9B5 1F3FD	fully-qualified	E11.0	leg: medium skin tone
🦵🏾	1F9B5 1F3FE	fully-qualified	E11.0	leg: medium-dark skin tone
🦵🏿	1F9B5 1F3FF	fully-qualified	E11.0	leg: dark skin tone
🦶	1F9B6	fully-qualified	E11.0	foot
🦶🏻	1F9B6 1F3FB	fully-qualified	E11.0	foot: light skin tone
🦶🏼	1F9B6 1F3FC	fully-qualified	E11.0	foot: medium-light skin tone
🦶🏽	1F9B6 1F3FD	fully-qualified	E11.0	foot: medium skin tone
🦶🏾	1F9B6 1F3FE	fully-qualified	E11.0	foot: medium-dark skin tone
🦶🏿	1F9B6 1F3FF	fully-qualified	E11.0	foot: dark skin tone
👂	1F442	fully-qualified	E0.6	ear
👂🏻	1F442 1F3FB	fully-qualified	E1.0	ear: light skin tone
👂🏼	1F442 1F3FC	fully-qualified	E1.0	ear: medium-light skin tone
👂🏽	1F442 1F3FD	fully-qualified	E1.0	ear: medium skin tone
👂🏾	1F442 1F3FE	fully-qualified	E1.0	ear: medium-dark skin tone
👂🏿	1F442 1F3FF	fully-qualified	E1.0	ear: dark skin tone
🦻	1F9BB	fully-qualified	E12.0	ear with hearing aid
🦻🏻	1F9BB 1F3FB	fully-qualified	E12.0	ear with hearing aid: light skin tone
🦻🏼	1F9BB 1F3FC	fully-qualified	E12.0	ear with hearing aid: medium-light skin tone
🦻🏽	1F9BB 1F3FD	fully-qualified	E12.0	ear with hearing aid: medium skin tone
🦻🏾	1F9BB 1F3FE	fully-qualified	E12.0	ear with hearing aid: medium-dark skin tone
🦻🏿	1F9BB 1F3FF	fully-qualified	E12.0	ear with hearing aid: dark skin tone
👃	1F443	fully-qualified	E0.6	nose
👃🏻	1F443 1F3FB	fully-qualified	E1.0	nose: light skin tone
👃🏼	1F443 1F3FC	fully-qualified	E1.0	nose: medium-light skin tone
👃🏽	1F443 1F3FD	fully-qualified	E1.0	nose: medium skin tone
👃🏾	1F443 1F3FE	fully-qualified	E1.0	nose: medium-dark skin tone
👃🏿	1F443 1F3FF	fully-qualified	E1.0	nose: dark skin tone
🧠	1F9E0	fully-qualified	E5.0	brain
🫀	1FAC0	fully-qualified	E13.0	anatomical heart
🫁	1FAC1	fully-qualified	E13.0	lungs
🦷	1F9B7	fully-qualified	E11.0	tooth
🦴	1F9B4	fully-qualified	E11.0	bone
👀	1F440	fully-qualified	E0.6	eyes
👁️	1F441 FE0F	fully-qualified	E0.7	eye
👁	1F441	unqualified	E0.7	eye
👅	1F445	fully-qualified	E0.6	tongue
👄	1F444	fully-qualified	E0.6	mouth
🫦	1FAE6	fully-qualified	E14.0	biting lip
👶	1F476	fully-qualified	E0.6	baby
👶🏻	1F476 1F3FB	fully-qualified	E1.0	baby: light skin tone
👶🏼	1F476 1F3FC	fully-qualified	E1.0	baby: medium-light skin tone
👶🏽	1F476 1F3FD	fully-qualified	E1.0	baby: medium skin tone
👶🏾	1F476 1F3FE	fully-qualified	E1.0	baby: medium-dark skin tone
👶🏿	1F476 1F3FF	fully-qualified	E1.0	baby: dark skin tone
🧒	1F9D2	fully-qualified	E5.0	child
🧒🏻	1F9D2 1F3FB	fully-qualified	E5.0	child: light skin tone
🧒🏼	1F9D2 1F3FC	fully-qualified	E5.0	child: medium-light skin tone
🧒🏽	1F9D2 1F3FD	fully-qualified	E5.0	child: medium skin tone
🧒🏾	1F9D2 1F3FE	fully-qualified	E5.0	child: medium-dark skin tone
🧒🏿	1F9D2 1F3FF	fully-qualified	E5.0	child: dark skin tone
👦	1F466	fully-qualified	E0.6	boy
👦🏻	1F466 1F3FB	fully-qualified	E1.0	boy: light skin tone
👦🏼	1F466 1F3FC	fully-qualified	E1.0	boy: medium-light skin tone
👦🏽	1F466 1F3FD	fully-qualified	E1.0	boy: medium skin tone
👦🏾	1F466 1F3FE	fully-qualified	E1.0	boy: medium-dark skin tone
👦🏿	1F466 1F3FF	fully-qualified	E1.0	boy: dark skin tone
👧	1F467	fully-qualified	E0.6	girl
👧🏻	1F467 1F3FB	fully-qualified	E1.0	girl: light skin tone
👧🏼	1F467 1F3FC	fully-qualified	E1.0	girl: medium-light skin tone
👧🏽	1F467 1F3FD	fully-qualified	E1.0	girl: medium skin tone
👧🏾	1F467 1F3FE	fully-qualified	E1.0	girl: medium-dark skin tone
👧🏿	1F467 1F3FF	fully-qualified	E1.0	girl: dark skin tone
🧑	1F9D1	fully-qualified	E5.0	person
🧑🏻	1F9D1 1F3FB	fully-qualified	E5.0	person: light skin tone
🧑🏼	1F9D1 1F3FC	fully-qualified	E5.0	person: medium-light skin tone
🧑🏽	1F9D1 1F3FD	fully-qualified	E5.0	person: medium skin tone
🧑🏾	1F9D1 1F3FE	fully-qualified	E5.0	person: medium-dark skin tone
🧑🏿	1F9D1 1F3FF	fully-qualified	E5.0	person: dark skin tone
👱	1F471	fully-qualified	E0.6	person: blond hair
👱🏻	1F471 1F3FB	fully-qualified	E1.0	person: light skin tone, blond hair
👱🏼	1F471 1F3FC	fully-qualified	E1.0	person: medium-light skin tone, blond hair
👱🏽	1F471 1F3FD	fully-qualified	E1.0	person: medium skin tone, blond hair
👱🏾	1F471 1F3FE	fully-qualified	E1.0	person: medium-dark skin tone, blond hair
👱🏿	1F471 1F3FF	fully-qualified	E1.0	person: dark skin tone, blond hair
👨	1F468	fully-qualified	E0.6	man
👨🏻	1F468 1F3FB	fully-qualified	E1.0	man: light skin tone
👨🏼	1F468 1F3FC	fully-qualified	E1.0	man: medium-light skin tone
👨🏽	1F468 1F3FD	fully-qualified	E1.0	man: medium skin tone
👨🏾	1F468 1F3FE	fully-qualified	E1.0	man: medium-dark skin tone
👨🏿	1F468 1F3FF	fully-qualified	E1.0	man: dark skin tone
🧔	1F9D4	fully-qualified	E5.0	person: beard
🧔🏻	1F9D4 1F3FB	fully-qualified	E5.0	person: light skin tone, beard
🧔🏼	1F9D4 1F3FC	fully-qualified	E5.0	person: medium-light skin tone, beard
🧔🏽	1F9D4 1F3FD	fully-qualified	E5.0	person: medium skin tone, beard
🧔🏾	1F9D4 1F3FE	fully-qualified	E5.0	person: medium-dark skin tone, beard
🧔🏿	1F9D4 1F3FF	fully-qualified	E5.0	person: dark skin tone, beard
🧔‍♂️	1F9D4 200D 2642 FE0F	fully-qualified	E13.1	man: beard
🧔‍♂	1F9D4 200D 2642	minimally-qualified	E13.1	man: beard
🧔🏻‍♂️	1F9D4 1F3FB 200D 2642 FE0F	fully-qualified	E13.1	man: light skin tone, beard
🧔🏻‍♂	1F9D4 1F3FB 200D 2642	minimally-qualified	E13.1	man: light skin tone, beard
🧔🏼‍♂️	1F9D4 1F3FC 200D 2642 FE0F	fully-qualified	E13.1	man: medium-light skin tone, beard
🧔🏼‍♂	1F9D4 1F3FC 200D 2642	minimally-qualified	E13.1	man: medium-light skin tone, beard
🧔🏽‍♂️	1F9D4 1F3FD 200D 2642 FE0F	fully-qualified	E13.1	man: medium skin tone, beard
🧔🏽‍♂	1F9D4 1F3FD 200D 2642	minimally-qualified	E13.1	man: medium skin tone, beard
🧔🏾‍♂️	1F9D4 1F3FE 200D 2642 FE0F	fully-qualified	E13.1	man: medium-dark skin tone, beard
🧔🏾‍♂	1F9D4 1F3FE 200D 2642	minimally-qualified	E13.1	man: medium-dark skin tone, beard
🧔🏿‍♂️	1F9D4 1F3FF 200D 2642 FE0F	fully-qualified	E13.1	man: dark skin tone, beard
🧔🏿‍♂	1F9D4 1F3FF 200D 2642	minimally-qualified	E13.1	man: dark skin tone, beard
🧔‍♀️	1F9D4 200D 2640 FE0F	fully-qualified	E13.1	woman: beard
🧔‍♀	1F9D4 200D 2640	minimally-qualified	E13.1	woman: beard
🧔🏻‍♀️	1F9D4 1F3FB 200D 2640 FE0F	fully-qualified	E13.1	woman: light skin tone, beard
🧔🏻‍♀	1F9D4 1F3FB 200D 2640	minimally-qualified	E13.1	woman: light skin tone, beard
🧔🏼‍♀️	1F9D4 1F3FC 200D 2640 FE0F	fully-qualified	E13.1	woman: medium-light skin tone, beard
🧔🏼‍♀	1F9D4 1F3FC 200D 2640	minimally-qualified	E13.1	woman: medium-light skin tone, beard
🧔🏽‍♀️	1F9D4 1F3FD 200D 2640 FE0F	fully-qualified	E13.1	woman: medium skin tone, beard
🧔🏽‍♀	1F9D4 1F3FD 200D 2640	minimally-qualified	E13.1	woman: medium skin tone, beard
🧔🏾‍♀️	1F9D4 1F3FE 200D 2640 FE0F	fully-qualified	E13.1	woman: medium-dark skin tone, beard
🧔🏾‍♀	1F9D4 1F3FE 200D 2640	minimally-qualified	E13.1	woman: medium-dark skin tone, beard
🧔🏿‍♀️	1F9D4 1F3FF 200D 2640 FE0F	fully-qualified	E13.1	woman: dark skin tone, beard
🧔🏿‍♀	1F9D4 1F3FF 200D 2640	minimally-qualified	E13.1	woman: dark skin tone, beard
👨‍🦰	1F468 200D 1F9B0	fully-qualified	E11.0	man: red hair
👨🏻‍🦰	1F468 1F3FB 200D 1F9B0	fully-qualified	E11.0	man: light skin tone, red hair
👨🏼‍🦰	1F468 1F3FC 200D 1F9B0	fully-qualified	E11.0	man: medium-light skin tone, red hair
👨🏽‍🦰	1F468 1F3FD 200D 1F9B0	fully-qualified	E11.0	man: medium skin tone, red hair
👨🏾‍🦰	1F468 1F3FE 200D 1F9B0	fully-qualified	E11.0	man: medium-dark skin tone, red hair
👨🏿‍🦰	1F468 1F3FF 200D 1F9B0	fully-qualified	E11.0	man: dark skin tone, red hair
👨‍🦱	1F468 200D 1F9B1	fully-qualified	E11.0	man: curly hair
👨🏻‍🦱	1F468 1F3FB 200D 1F9B1	fully-qualified	E11.0	man: light skin tone, curly hair
👨🏼‍🦱	1F468 1F3FC 200D 1F9B1	fully-qualified	E11.0	man: medium-light skin tone, curly hair
👨🏽‍🦱	1F468 1F3FD 200D 1F9B1	fully-qualified	E11.0	man: medium skin tone, curly hair
👨🏾‍🦱	1F468 1F3FE 200D 1F9B1	fully-qualified	E11.0	man: medium-dark skin tone, curly hair
👨🏿‍🦱	1F468 1F3FF 200D 1F9B1	fully-qualified	E11.0	man: dark skin tone, curly hair
👨‍🦳	1F468 200D 1F9B3	fully-qualified	E11.0	man: white hair
👨🏻‍🦳	1F468 1F3FB 200D 1F9B3	fully-qualified	E11.0	man: light skin tone, white hair
👨🏼‍🦳	1F468 1F3FC 200D 1F9B3	fully-qualified	E11.0	man: medium-light skin tone, white hair
👨🏽‍🦳	1F468 1F3FD 200D 1F9B3	fully-qualified	E11.0	man: medium skin tone, white hair
👨🏾‍🦳	1F468 1F3FE 200D 1F9B3	fully-qualified	E11.0	man: medium-dark skin tone, white hair
👨🏿‍🦳	1F468 1F3FF 200D 1F9B3	fully-qualified	E11.0	man: dark skin tone, white hair
👨‍🦲	1F468 200D 1F9B2	fully-qualified	E11.0	man: bald
👨🏻‍🦲	1F468 1F3FB 200D 1F9B2	fully-qualified	E11.0	man: light skin tone, bald
👨🏼‍🦲	1F468 1F3FC 200D 1F9B2	fully-qualified	E11.0	man: medium-light skin tone, bald
👨🏽‍🦲	1F468 1F3FD 200D 1F9B2	fully-qualified	E11.0	man: medium skin tone, bald
👨🏾‍🦲	1F468 1F3FE 200D 1F9B2	fully-qualified	E11.0	man: medium-dark skin tone, bald
👨🏿‍🦲	1F468 1F3FF 200D 1F9B2	fully-qualified	E11.0	man: dark skin tone, bald
👩	1F469	fully-qualified	E0.6	woman
👩🏻	1F469 1F3FB	fully-qualified	E1.0	woman: light skin tone
👩🏼	1F469 1F3FC	fully-qualified	E1.0	woman: medium-light skin tone
👩🏽	1F469 1F3FD	fully-qualified	E1.0	woman: medium skin tone
👩🏾	1F469 1F3FE	fully-qualified	E1.0	woman: medium-dark skin tone
👩🏿	1F469 1F3FF	fully-qualified	E1.0	woman: dark skin tone
👩‍🦰	1F469 200D 1F9B0	fully-qualified	E11.0	woman: red hair
👩🏻‍🦰	1F469 1F3FB 200D 1F9B0	fully-qualified	E11.0	woman: light skin tone, red hair
👩🏼‍🦰	1F469 1F3FC 200D 1F9B0	fully-qualified	E11.0	woman: medium-light skin tone, red hair
👩🏽‍🦰	1F469 1F3FD 200D 1F9B0	fully-qualified	E11.0	woman: medium skin tone, red hair
👩🏾‍🦰	1F469 1F3FE 200D 1F9B0	fully-qualified	E11.0	woman: medium-dark skin tone, red hair
👩🏿‍🦰	1F469 1F3FF 200D 1F9B0	fully-qualified	E11.0	woman: dark skin tone, red hair
🧑‍🦰	1F9D1 200D 1F9B0	fully-qualified	E12.1	person: red hair
🧑🏻‍🦰	1F9D1 1F3FB 200D 1F9B0	fully-qualified	E12.1	person: light skin tone, red hair
🧑🏼‍🦰	1F9D1 1F3FC 200D 1F9B0	fully-qualified	E12.1	person: medium-light skin tone, red hair
🧑🏽‍🦰	1F9D1 1F3FD 200D 1F9B0	fully-qualified	E12.1	person: medium skin tone, red hair
🧑🏾‍🦰	1F9D1 1F3FE 200D 1F9B0	fully-qualified	E12.1	person: medium-dark skin tone, red hair
🧑🏿‍🦰	1F9D1 1F3FF 200D 1F9B0	fully-qualified	E12.1	person: dark skin tone, red hair
👩‍🦱	1F469 200D 1F9B1	fully-qualified	E11.0	woman: curly hair
👩🏻‍🦱	1F469 1F3FB 200D 1F9B1	fully-qualified	E11.0	woman: light skin tone, curly hair
👩🏼‍🦱	1F469 1F3FC 200D 1F9B1	fully-qualified	E11.0	woman: medium-light skin tone, curly hair
👩🏽‍🦱	1F469 1F3FD 200D 1F9B1	fully-qualified	E11.0	woman: medium skin tone, curly hair
👩🏾‍🦱	1F469 1F3FE 200D 1F9B1	fully-qualified	E11.0	woman: medium-dark skin tone, curly hair
👩🏿‍🦱	1F469 1F3FF 200D 1F9B1	fully-qualified	E11.0	woman: dark skin tone, curly hair
🧑‍🦱	1F9D1 200D 1F9B1	fully-qualified	E12.1	person: curly hair
🧑🏻‍🦱	1F9D1 1F3FB 200D 1F9B1	fully-qualified	E12.1	person: light skin tone, curly hair
🧑🏼‍🦱	1F9D1 1F3FC 200D 1F9B1	fully-qualified	E12.1	person: medium-light skin tone, curly hair
🧑🏽‍🦱	1F9D1 1F3FD 200D 1F9B1	fully-qualified	E12.1	person: medium skin tone, curly hair
🧑🏾‍🦱	1F9D1 1F3FE 200D 1F9B1	fully-qualified	E12.1	person: medium-dark skin tone, curly hair
🧑🏿‍🦱	1F9D1 1F3FF 200D 1F9B1	fully-qualified	E12.1	person: dark skin tone, curly hair
👩‍🦳	1F469 200D 1F9B3	fully-qualified	E11.0	woman: white hair
👩🏻‍🦳	1F469 1F3FB 200D 1F9B3	fully-qualified	E11.0	woman: light skin tone, white hair
👩🏼‍🦳	1F469 1F3FC 200D 1F9B3	fully-qualified	E11.0	woman: medium-light skin tone, white hair
👩🏽‍🦳	1F469 1F3FD 200D 1F9B3	fully-qualified	E11.0	woman: medium skin tone, white hair
👩🏾‍🦳	1F469 1F3FE 200D 1F9B3	fully-qualified	E11.0	woman: medium-dark skin tone, white hair
👩🏿‍🦳	1F469 1F3FF 200D 1F9B3	fully-qualified	E11.0	woman: dark skin tone, white hair
🧑‍🦳	1F9D1 200D 1F9B3	fully-qualified	E12.1	person: white hair
🧑🏻‍🦳	1F9D1 1F3FB 200D 1F9B3	fully-qualified	E12.1	person: light skin tone, white hair
🧑🏼‍🦳	1F9D1 1F3FC 200D 1F9B3	fully-qualified	E12.1	person: medium-light skin tone, white hair
